,Hours,Expected Attendance,Actual Attendance,Program Delivered,Everett,Global,Pullman,Spokane,Tri Cities,Vancouver,Non-WSU,Unsure,Latitude,Longitude,category_encoded,year,month,day,DOW_encoded,Start Hour,Start Minute,End Hour,End Minute,Program_encoded,Facilitator 1_encoded,Format_encoded,Campus_encoded
0,1.0,33.15399610136452,14.0,Yes,0,0,14,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,0,2022,12,5,2,15,0,16,0,3,0,0,3
1,1.0,33.15399610136452,7.0,Yes,0,0,7,0,0,0,0.0,0.0,46.729809,-117.163473,2,2023,1,7,4,14,15,15,15,18,0,0,3
2,1.0,33.15399610136452,22.0,Yes,0,0,22,0,0,0,0.0,0.0,46.729809,-117.163473,2,2023,1,8,5,10,30,11,30,18,0,0,3
3,1.0,33.15399610136452,14.0,Yes,0,0,14,0,0,0,0.0,0.0,46.727382,-117.165967,2,2023,1,11,10,10,0,11,0,18,0,0,3
4,1.0,33.15399610136452,21.0,Yes,0,0,21,0,0,0,0.0,0.0,46.727382,-117.165967,2,2023,1,17,8,15,0,16,0,18,0,0,3
5,1.0,33.15399610136452,17.0,Yes,0,0,17,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2023,2,4,4,14,0,15,0,18,0,0,3
6,1.0,33.15399610136452,23.0,Yes,0,0,23,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2023,2,22,10,16,0,17,0,18,0,0,3
7,1.0,33.15399610136452,23.0,Yes,0,0,23,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2023,4,14,0,11,0,12,0,18,0,0,3
8,1.0,33.15399610136452,15.0,Yes,0,0,15,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2023,4,17,2,19,0,20,0,64,0,0,3
9,1.0,33.15399610136452,47.0,Yes,0,0,47,0,0,0,0.0,0.0,46.729809,-117.163473,2,2023,8,13,5,9,0,10,0,18,0,0,3
10,1.0,33.15399610136452,45.0,Yes,0,0,45,0,0,0,0.0,0.0,46.729809,-117.163473,2,2023,8,13,5,12,45,13,45,18,0,0,3
11,1.0,33.15399610136452,31.0,Yes,0,0,31,0,0,0,0.0,0.0,46.729809,-117.163473,2,2023,8,13,5,15,45,16,45,18,0,0,3
12,1.0,33.15399610136452,35.0,Yes,0,0,35,0,0,0,0.0,0.0,46.729809,-117.163473,2,2023,8,14,2,9,0,10,0,18,0,0,3
13,1.0,33.15399610136452,44.0,Yes,0,0,44,0,0,0,0.0,0.0,46.729809,-117.163473,2,2023,8,15,8,10,30,11,30,18,0,0,3
14,1.0,33.15399610136452,2.0,Yes,0,0,2,0,0,0,0.0,0.0,46.727382,-117.165967,2,2023,8,23,10,11,0,12,0,18,0,0,3
15,1.0,33.15399610136452,26.0,Yes,0,0,26,0,0,0,0.0,0.0,46.729809,-117.163473,2,2023,8,26,4,10,30,11,30,18,0,0,3
16,1.0,33.15399610136452,5.0,Yes,0,0,5,0,0,0,0.0,0.0,46.727382,-117.165967,2,2023,8,30,10,11,0,12,0,18,0,0,3
17,1.0,33.15399610136452,14.0,Yes,0,0,14,0,0,0,0.0,0.0,46.727382,-117.165967,2,2023,9,6,10,11,0,12,0,18,0,0,3
18,1.0,33.15399610136452,6.0,Yes,0,0,6,0,0,0,0.0,0.0,46.727382,-117.165967,2,2023,9,13,10,11,0,12,0,18,0,0,3
19,1.0,33.15399610136452,12.0,Yes,0,0,12,0,0,0,0.0,0.0,46.727382,-117.165967,2,2023,9,20,10,11,0,10,0,18,0,0,3
20,1.0,33.15399610136452,73.0,Yes,0,0,73,0,0,0,0.0,0.0,46.729801,-117.161642,1,2023,9,20,10,17,0,18,0,50,0,0,3
21,1.0,33.15399610136452,3.0,Yes,0,0,3,0,0,0,0.0,0.0,46.727382,-117.165967,2,2023,9,27,10,11,0,12,0,18,0,0,3
22,1.0,33.15399610136452,30.0,Yes,0,0,30,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,0,2023,10,3,8,18,0,19,0,17,0,0,3
23,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,16,5,13,30,14,30,18,1,2,3
24,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,16,5,15,0,16,0,18,1,2,3
25,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,19,10,11,30,12,30,18,1,2,3
26,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,21,0,14,30,15,30,18,1,2,3
27,1.0,40.0,20.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,9,5,4,10,0,11,0,28,1,2,3
