Category,Date,DOW,Start Time,End Time,Hours,Program,Facilitator 1,Expected Attendance,Actual Attendance,Program Delivered,Format,Format,Campus,Everett,Global,Pullman,Spokane,Tri Cities,Vancouver,Non-WSU,Unsure,Main Role On Campus,Campus Community,Organization,Location,Latitude,Longitude,GPS Coordinates
AOD+IMPACT,12/5/22,Monday,3:00:00 PM,4:00:00 PM,1,A Conscious Cheers,Facilitator_1,,14,Yes,IN-PERSON,In-Person,Pullman,0,0,14,0,0,0,,,Undergraduate,Greek Student,,,,,
Mandatory Prog,1/7/23,Saturday,2:15:00 PM,3:15:00 PM,1,Count on Cougs,Facilitator_1,,7,Yes,IN-PERSON,In-Person,Pullman,0,0,7,0,0,0,,,Undergraduate,First-year students,,Todd Hall,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
Mandatory Prog,1/8/23,Sunday,10:30:00 AM,11:30:00 AM,1,Count on Cougs,Facilitator_1,,22,Yes,IN-PERSON,In-Person,Pullman,0,0,22,0,0,0,,,Undergraduate,First-year students,,Todd Hall,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
Mandatory Prog,1/11/23,Wednesday,10:00:00 AM,11:00:00 AM,1,Count on Cougs,Facilitator_1,,14,Yes,IN-PERSON,In-Person,Pullman,0,0,14,0,0,0,,,Undergraduate,First-year students,,G41,46.727382, -117.165967,"46° 43' 38.5752'' N
117° 9' 57.4812'' W"
Mandatory Prog,1/17/23,Tuesday,3:00:00 PM,4:00:00 PM,1,Count on Cougs,Facilitator_1,,21,Yes,IN-PERSON,In-Person,Pullman,0,0,21,0,0,0,,,Undergraduate,First-year students,,G41,46.727382, -117.165967,"46° 43' 38.5752'' N
117° 9' 57.4812'' W"
Mandatory Prog,2/4/23,Saturday,2:00:00 PM,3:00:00 PM,1,Count on Cougs,Facilitator_1,,17,Yes,IN-PERSON,In-Person,Pullman,0,0,17,0,0,0,,,Undergraduate,First-year students,,,,,
Mandatory Prog,2/22/23,Wednesday,4:00:00 PM,5:00:00 PM,1,Count on Cougs,Facilitator_1,,23,Yes,IN-PERSON,In-Person,Pullman,0,0,23,0,0,0,,,Undergraduate,First-year students,,,,,
Mandatory Prog,4/14/23,Friday,11:00:00 AM,12:00:00 PM,1,Count on Cougs,Facilitator_1,,23,Yes,IN-PERSON,In-Person,Pullman,0,0,23,0,0,0,,,Undergraduate,First-year students,,,,,
Life Skills,4/17/23,Monday,7:00:00 PM,8:00:00 PM,1,"Sleep More, Sleep Better",Facilitator_1,,15,Yes,IN-PERSON,In-Person,Pullman,0,0,15,0,0,0,,,Undergraduate,Greek Student,,,,,
Mandatory Prog,8/13/23,Sunday,9:00:00 AM,10:00:00 AM,1,Count on Cougs,Facilitator_1,,47,Yes,IN-PERSON,In-Person,Pullman,0,0,47,0,0,0,,,Undergraduate,Greek Student,,Todd 302 ,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
